Error,Latitude DT,Longitude DT,Lat Trace,Long Trace,Cells
0.339410061,38.74194564,-9.146879638,38.73952343,-9.146879638, 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 
0.069412571,38.74131569,-9.138837837,38.7411566,-9.138837837, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 
0.041785661,38.7399658,-9.142011002,38.74034002,-9.142011002, 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 
0.166419059,38.74131569,-9.146222057,38.74197319,-9.146222057, 4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA   4G - 4LB02833A_HOTEL_ALIF - 268-1-2833-4LB02833A_HOTEL_ALIF 
0.056958647,38.73987581,-9.141999482,38.74034002,-9.141999482, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF   4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 
0.022804241,38.74041577,-9.142299358,38.74034002,-9.142299358, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB02833B_HOTEL_ALIF - 268-1-2833-4LB02833B_HOTEL_ALIF   4G - 4LB02833C_HOTEL_ALIF - 268-1-2833-4LB02833C_HOTEL_ALIF 
0.010494538,38.73861591,-9.143799563,38.73870685,-9.143799563, 4G - 4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028B_AVENIDA_DA_REPUBLICA__LISBOA 4G - 4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA - 268-1-28-4LB00028A_AVENIDA_DA_REPUBLICA__LISBOA 
0.322142815,38.74104572,-9.140418579,38.73816246,-9.140418579, 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES   4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 
0.113759467,38.74149568,-9.138283977,38.74061221,-9.138283977, 4G - 4LB00061A_PRACA_DE_LONDRES - 268-1-61-4LB00061A_PRACA_DE_LONDRES 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
0.007773108,38.7412257,-9.139403211,38.7411566,-9.139403211, 4G - 4LB01729B_CAMPO_PEQUENO_SUBS - 268-1-1729-4LB01729B_CAMPO_PEQUENO_SUBS 4G - 4LB00061C_PRACA_DE_LONDRES - 268-1-61-4LB00061C_PRACA_DE_LONDRES 
